,H40,Finnster,25
,H42,CT 4282 AE,27
,H44,Topaz,29
,H46,Balooga,25
,H48,Child's Play,24
,H50,Murphy's Pub,24
,HT1,C Glass,65
,HT2,Razzle Dazzle,68
,,,
,I05,Josh Amo,34
,I06,Kaigen Lady,36
,I10,Sea Life,43
,I11,Miss Conduct,39
,I12,Gypsy,40
,I13,Seaweedie,45
,I14,Water Witch III,44
,I15,Christin Leigh,48
,I16,Sea Chase,38
,I18,Donald B,45
,I19,Lumber 1,50
,I20,Sea Fever,34
,I21,Relentless,48
,I22,After All,45
,I23,Third Wish,36
,I24,Yes Please,41
,I25,Hartnett,37
,I26,Mist Approach,41
,I27,Right Stuff,42
,I28,Knot Board,40
,I29,Pipe Dream,48
,I30,Voyager,43
,I31,On The Edge,40
,I32,Uff Da,47
,I33,Osprey II,32
,I34,Kinipela,35
,I35,Adios,43
,I36,Forever,40
,I37,Favorite Child,38
,I38,O Sea D,45
,I39,Knot Grumpy,54
,I40,CT 5577 AZ,15
,I41,Built Different,55
,I42,CT 7212 BE,23
,I44,Fish Guts,21
,I46,CT 0591 BJ,22
,I48,CT 81687 BP,23
,I50,CT 2343 AZ,23
,I52,Cobalt,25
,ITEEEAST,Bone,50
,ITEEW,Andiamo,60
,,,
,J06,Sea Ray,40
,J07,Vallombroso,32
,J08,Queen of Hearts,35
,J09,Johnson,23.7
,J10,Taz,40
,J11,Vintage Port,30
,J12,Twisted,38
,J13,Marijane,30
,J15,Sea Jay II,23.5
,J16,Time Out,36
,J18,Camelot,38
,J19,Blue Print,29
,J20,Neverland,36
,J21,Shore Thing,26
,J22,Liberty,33
,J23,Unreel,32
,J24,High Noon II,40
,J25,Bohan,29
,J26,Frivolous,36
,J27,Sea Crews,28
,J28,Whatever,42
,J29,Splash,26
,J30,Hoabinh,33
,J31,Cop Out,31
,J32,Orca,34
,J33,Upstate Of Mind,26
,J34,Knot Liable,33
,J35,Happier,25
,J36,Never Satisfied,30
,J37,Job Site,28
,J38,Silver Star,42
,J39,One Love,29
,J40,Black Diamond,31
,J41,Unknown Name,30
,J42,Beach House,42
,J43,Narked,31.6
,J44,Across Your Mind,39
,J45,Meant2Be II,32
,J46,Destiny,37
,J47,The Miss Bahlu,28
,J48,Whorl Wind,34
,J49,Hooker,30
,J50,Island Time,35
,J51,Full Monty,29
,J52,Fishin Impossible,43
,J53,It's My Turn,27
,J54,CT 3591 BB,17
,J55,Bone Voyage,26
,J56,Paige One,22
,J57,Puca,24.8
,J58,Moscato JR,24
,J59,Sea Woof,32
,J60,Group Therapy,24.3
,J61,Mauranola,30
,J62,Reel Liberty,27
,J63,Cool Change,30
,J64,LOL,22
,J65,Motley Cruiser,28
,J67,Pas De Deuz,27
,J69,Sea Ray SLX 310,31
,J71,Respite,28
,,,
,K11,Satter Daze,23
,K20,Fourth Friday,29.6
,K21,Relentless,31
,K23,CT 0346 BP,25
,K24,Anduril,34
,K25,Class Act,32
,K27,Pursuit,28
,K28,Knot on Call,26
,K29,Homarus,28
,K30,Sea Hunt,25
,K31,Triple G,30
,K32,Relaxin,29
,K33,St Somewhere,19
,K34,Jasmar,29
,K36,Vintage,28
,K37,Tender Box,32
,K39,CT 5515 BP,23
,K40,Fish Sticks,27
,K41,Red Means Run,33
,K42,Bourbon & Belles,28
,K44,Take Five,26
